 Data Report, ,,,,,,
 Note:All times shown are based on UTC -04:00 and 24-Hour clock [YYYY/MM/DD HH:MM:SS], ,,,,,,
 File Created Time:,10/8/2025 13:40,,,,,,
 ,,,,,,,
 Device Information, ,,,,,,
 Device Model:,BlueTag TH20, , , Firmware Version:,LCD_REUSE_TH_V2.1.5, ,
 Serial Number:,240900213U, , , Log Interval:,10min, ,
 Stop Mode:,APP, , , Start Delay:,0min,,
 Probe Type:,INNER, , , Device name:,RS L3a ,,
 Start time:,6/9/2025 14:51, , , Data Points:,1636, ,
 Stop Time:,6/20/2025 23:21, , , Elaspsed Time:,11d8h30min,,
 Last Time:,6/20/2025 23:21,,,,,,
 ,,,,,,,
 Logging Summary, ,,,,,,
 Highest Temperature:, 41.9?,6/18/2025 16:01, , Highest Humidity:,99.10%,6/18/2025 5:51, 
 Lowest Temperature:, 8.3?,6/11/2025 5:11, ,Lowest Humidity:,29.10%,6/12/2025 15:01, 
 Average Temperature:, 22.0?, , , Average Humidity:,75.60%, ,
 Mean Kinetic Temperature:, 25.0?, , ,,,,
 ,,,,,,,
 YYYY/MM/DD, HH:MM:SS, Temperature(?),TemperatureStatus,Humidity(%RH),HumidityStatus,,
 2025/06/09, 14:51:57,29.5,,55.3,,,
 2025/06/09, 15:01:57,28.4,,58.7,,,
 2025/06/09, 15:11:57,32,,55.9,,,
 2025/06/09, 15:21:57,33.4,,50,,,
 2025/06/09, 15:31:57,29.6,,55.4,,,
 2025/06/09, 15:41:57,31.3,,53.7,,,
 2025/06/09, 15:51:57,29.8,,55.4,,,
 2025/06/09, 16:01:57,27.1,,62.5,,,
 2025/06/09, 16:11:57,27.6,,63.1,,,
 2025/06/09, 16:21:57,28,,63.3,,,
 2025/06/09, 16:31:57,29,,58.4,,,
 2025/06/09, 16:41:57,30,,58.3,,,
 2025/06/09, 16:51:57,32.2,,54.2,,,
 2025/06/09, 17:01:57,31.8,,51.6,,,
 2025/06/09, 17:11:57,32.6,,50.8,,,
 2025/06/09, 17:21:57,32.3,,50.3,,,
 2025/06/09, 17:31:57,30.2,,52.8,,,
 2025/06/09, 17:41:57,30.7,,52.8,,,
 2025/06/09, 17:51:57,31,,51,,,
 2025/06/09, 18:01:57,30.8,,52.7,,,
 2025/06/09, 18:11:57,28.5,,57,,,
 2025/06/09, 18:21:57,27.2,,60.4,,,
 2025/06/09, 18:31:57,27.1,,61.8,,,
 2025/06/09, 18:41:57,25.7,,66.1,,,
 2025/06/09, 18:51:57,24.9,,68.3,,,
 2025/06/09, 19:01:57,24.9,,66.8,,,
 2025/06/09, 19:11:57,24.8,,66,,,
 2025/06/09, 19:21:57,24.1,,67.5,,,
 2025/06/09, 19:31:57,23.2,,71.6,,,
 2025/06/09, 19:41:57,23,,74.7,,,
 2025/06/09, 19:51:57,22.9,,73.1,,,
 2025/06/09, 20:01:57,22.3,,75.3,,,
 2025/06/09, 20:11:57,21.7,,80,,,
 2025/06/09, 20:21:57,20.9,,83.5,,,
 2025/06/09, 20:31:57,19.7,,82.9,,,
 2025/06/09, 20:41:57,19,,83.5,,,
 2025/06/09, 20:51:57,19,,83.2,,,
 2025/06/09, 21:01:57,18.8,,85.3,,,
 2025/06/09, 21:11:57,18.6,,88.6,,,
 2025/06/09, 21:21:57,18.5,,88.8,,,
 2025/06/09, 21:31:57,18.4,,88.1,,,
 2025/06/09, 21:41:57,18.3,,90.7,,,
 2025/06/09, 21:51:57,18.2,,88.5,,,
 2025/06/09, 22:01:57,18.4,,89.2,,,
 2025/06/09, 22:11:57,18.5,,88.1,,,
 2025/06/09, 22:21:57,18.3,,89.3,,,
 2025/06/09, 22:31:57,18.1,,89.9,,,
 2025/06/09, 22:41:57,18.4,,90.5,,,
 2025/06/09, 22:51:57,18.3,,90.2,,,
 2025/06/09, 23:01:57,18.3,,92,,,
 2025/06/09, 23:11:57,18.5,,90.8,,,
 2025/06/09, 23:21:57,18.4,,90.8,,,
 2025/06/09, 23:31:57,18.2,,91.2,,,
 2025/06/09, 23:41:57,17.9,,91.5,,,
 2025/06/09, 23:51:57,17.7,,91.8,,,
 2025/06/10, 00:01:57,17.5,,92.7,,,
 2025/06/10, 00:11:57,17.6,,95.7,,,
 2025/06/10, 00:21:57,17.4,,93.9,,,
 2025/06/10, 00:31:57,17.2,,93.8,,,
 2025/06/10, 00:41:57,17.1,,94.1,,,
 2025/06/10, 00:51:57,17.1,,94.6,,,
 2025/06/10, 01:01:57,17.1,,94.6,,,
 2025/06/10, 01:11:57,17,,94.6,,,
 2025/06/10, 01:21:57,17,,94,,,
 2025/06/10, 01:31:57,16.9,,94.4,,,
 2025/06/10, 01:41:57,16.9,,93.6,,,
 2025/06/10, 01:51:57,16.9,,93.1,,,
 2025/06/10, 02:01:57,17.2,,93,,,
 2025/06/10, 02:11:57,17.5,,93.1,,,
 2025/06/10, 02:21:57,17.7,,92.1,,,
 2025/06/10, 02:31:57,17.8,,91.1,,,
 2025/06/10, 02:41:57,17.8,,90.8,,,
 2025/06/10, 02:51:57,17.8,,91,,,
 2025/06/10, 03:01:57,17.7,,92.1,,,
 2025/06/10, 03:11:57,17.3,,93.1,,,
 2025/06/10, 03:21:57,17.2,,93.8,,,
 2025/06/10, 03:31:57,17.2,,94.3,,,
 2025/06/10, 03:41:57,17.3,,94.7,,,
 2025/06/10, 03:51:57,17.2,,94.7,,,
 2025/06/10, 04:01:57,17.2,,94.8,,,
 2025/06/10, 04:11:57,17.2,,95,,,
 2025/06/10, 04:21:57,17.1,,95.3,,,
