 Data Report, ,,,,,,
 Note:All times shown are based on UTC -04:00 and 24-Hour clock [YYYY/MM/DD HH:MM:SS], ,,,,,,
 File Created Time:,10/8/2025 13:38,,,,,,
 ,,,,,,,
 Device Information, ,,,,,,
 Device Model:,BlueTag TH20, , , Firmware Version:,LCD_REUSE_TH_V2.1.5, ,
 Serial Number:,240900215U, , , Log Interval:,10min, ,
 Stop Mode:,Temporary, , , Start Delay:,0min,,
 Probe Type:,INNER, , , Device name:,RS K2b ,,
 Start time:,5/12/2025 13:35, , , Data Points:,10343, ,
 Stop Time:,7/23/2025 9:15, , , Elaspsed Time:,71d19h40min,,
 Last Time:,7/23/2025 9:15,,,,,,
 ,,,,,,,
 Logging Summary, ,,,,,,
 Highest Temperature:, 48.5?,5/26/2025 15:05, , Highest Humidity:,99.90%,7/19/2025 22:05, 
 Lowest Temperature:, 9.4?,5/20/2025 6:05, ,Lowest Humidity:,39.60%,5/12/2025 13:35, 
 Average Temperature:, 26.0?, , , Average Humidity:,67.20%, ,
 Mean Kinetic Temperature:, 29.2?, , ,,,,
 ,,,,,,,
 YYYY/MM/DD, HH:MM:SS, Temperature(?),TemperatureStatus,Humidity(%RH),HumidityStatus,,
 2025/05/13, 03:15:39,20,,44.1,,,
 2025/05/13, 03:25:39,19.9,,44.2,,,
 2025/05/13, 03:35:39,19.9,,44.2,,,
 2025/05/13, 03:45:39,19.8,,44.4,,,
 2025/05/13, 03:55:39,19.8,,44.5,,,
 2025/05/13, 04:05:39,19.7,,44.5,,,
 2025/05/13, 04:15:39,19.7,,44.6,,,
 2025/05/13, 04:25:39,19.6,,44.7,,,
 2025/05/13, 04:35:39,19.6,,44.8,,,
 2025/05/13, 04:45:39,19.5,,44.9,,,
 2025/05/13, 04:55:39,19.5,,45,,,
 2025/05/13, 05:05:39,19.5,,45,,,
 2025/05/13, 05:15:39,19.5,,45.1,,,
 2025/05/13, 05:25:39,19.5,,45.2,,,
 2025/05/13, 05:35:39,19.5,,45.3,,,
 2025/05/13, 05:45:39,19.4,,45.4,,,
 2025/05/13, 05:55:39,19.4,,45.5,,,
 2025/05/13, 06:05:39,19.4,,45.6,,,
 2025/05/13, 06:15:39,19.4,,45.7,,,
 2025/05/13, 06:25:39,19.4,,45.8,,,
 2025/05/13, 06:35:39,19.4,,45.9,,,
 2025/05/13, 06:45:39,19.4,,46,,,
 2025/05/13, 06:55:39,19.4,,46.1,,,
 2025/05/13, 07:05:39,19.4,,46.2,,,
 2025/05/13, 07:15:39,19.5,,46.3,,,
 2025/05/13, 07:25:39,19.5,,46.4,,,
 2025/05/13, 07:35:39,19.6,,46.5,,,
